Date,rainfall
01/01/2006,35.2
02/01/2006,7.4
03/01/2006,0.2
04/01/2006,0.0
05/01/2006,0.0
06/01/2006,0.0
07/01/2006,0.0
08/01/2006,0.0
09/01/2006,0.0
10/01/2006,0.0
11/01/2006,0.0
12/01/2006,0.0
13/01/2006,0.0
14/01/2006,0.0
15/01/2006,0.0
16/01/2006,0.0
17/01/2006,11.6
18/01/2006,88.2
19/01/2006,11.6
20/01/2006,0.0
21/01/2006,0.0
22/01/2006,1.2
23/01/2006,0.0
24/01/2006,0.0
25/01/2006,0.0
26/01/2006,0.0
27/01/2006,18.6
28/01/2006,5.0
29/01/2006,2.2
30/01/2006,5.0
31/01/2006,0.0
01/02/2006,0.0
02/02/2006,0.0
03/02/2006,0.0
04/02/2006,0.0
05/02/2006,0.0
06/02/2006,0.0
07/02/2006,0.0
08/02/2006,0.0
09/02/2006,6.0
10/02/2006,0.0
11/02/2006,0.0
12/02/2006,0.0
13/02/2006,0.0
14/02/2006,0.0
15/02/2006,15.6
16/02/2006,54.4
17/02/2006,35.0
18/02/2006,0.6
19/02/2006,0.8
20/02/2006,18.2
21/02/2006,25.0
22/02/2006,6.8
23/02/2006,2.2
24/02/2006,0.0
25/02/2006,1.0
26/02/2006,0.8
27/02/2006,1.6
28/02/2006,0.0
01/03/2006,1.0
02/03/2006,0.2
03/03/2006,13.2
04/03/2006,5.8
05/03/2006,13.2
06/03/2006,16.2
07/03/2006,0.0
08/03/2006,0.0
09/03/2006,3.0
10/03/2006,9.8
11/03/2006,8.2
12/03/2006,0.0
13/03/2006,0.0
14/03/2006,0.0
15/03/2006,0.0
16/03/2006,5.6
17/03/2006,0.0
18/03/2006,0.0
19/03/2006,0.0
20/03/2006,0.0
21/03/2006,14.4
22/03/2006,6.4
23/03/2006,0.6
24/03/2006,0.2
25/03/2006,5.0
26/03/2006,0.0
27/03/2006,0.0
28/03/2006,0.0
29/03/2006,0.8
30/03/2006,0.0
31/03/2006,0.0
01/04/2006,0.0
02/04/2006,0.0
03/04/2006,0.0
04/04/2006,0.0
05/04/2006,0.0
06/04/2006,1.6
07/04/2006,3.4
08/04/2006,0.0
09/04/2006,0.0
10/04/2006,0.0
11/04/2006,1.0
12/04/2006,0.0
13/04/2006,0.2
14/04/2006,0.0
15/04/2006,0.0
16/04/2006,2.6
17/04/2006,0.2
18/04/2006,0.0
19/04/2006,0.0
20/04/2006,0.0
21/04/2006,0.0
22/04/2006,0.8
23/04/2006,0.0
24/04/2006,0.0
25/04/2006,0.0
